
0.115   0.114   0.115   
0.113   0.121   0.115   
0.114   0.112   0.118   
0.118   0.119   0.118   
0.118   0.117   0.114   
0.117   0.111   0.115   
0.116   0.114   0.114   
0.113   0.114   0.114   
0.114   0.116   0.114   
0.117   0.116   0.116   
0.117   0.114   0.113   
0.113   0.112   0.116   
0.118   0.116   0.118   
0.117   0.118   0.116   
0.114   0.112   0.120   
0.111   0.114   0.115   
0.111   0.115   0.119   
0.117   0.119   0.115   
0.117   0.117   0.114   
0.114   0.113   0.114   
0.111   0.112   0.113   
0.113   0.116   0.120   
0.118   0.113   0.115   
0.115   0.117   0.115   
0.115   0.115   0.113   
0.111   0.116   0.115   
0.114   0.111   0.113   
0.117   0.126   0.116   
0.119   0.117   0.117   
0.112   0.112   0.117   
0.114   0.116   0.112   
0.113   0.118   0.114   
0.108   0.114   0.113   
0.114   0.121   0.118   
0.119   0.115   0.112   
0.112   0.113   0.117   
0.112   0.113   0.113   
0.114   0.113   0.113   
0.113   0.116   0.115   
0.114   0.113   0.114   
0.113   0.113   0.111   
0.114   0.115   0.112   
0.111   0.108   0.116   
0.113   0.116   0.123   
0.114   0.115   0.114   
0.114   0.112   0.114   
0.116   0.114   0.119   
0.113   0.113   0.116   
0.107   0.120   0.122   
0.117   0.119   0.116   
0.115   0.116   0.113   
0.114   0.113   0.115   
0.114   0.113   0.113   
0.122   0.114   0.116   
0.115   0.113   0.115   
0.114   0.120   0.113   
0.114   0.111   0.114   
0.116   0.117   0.115   
0.113   0.115   0.114   
0.116   0.125   0.116   
0.112   0.114   0.112   
0.112   0.114   0.116   
0.113   0.114   0.112   
0.113   0.113   0.116   
0.110   0.113   0.116   
0.114   0.114   0.119   
0.113   0.114   0.116   
0.114   0.117   0.115   
0.114   0.115   0.117   
0.115   0.113   0.118   
0.320   0.238   0.303   
0.203   0.184   0.113   
0.115   0.111   0.113   
0.112   0.112   0.117   
0.113   0.112   0.113   
0.119   0.118   0.114   
0.113   0.115   0.114   
0.116   0.113   0.112   
0.113   0.115   0.114   
0.114   0.115   0.115   
