
0.131   0.135   0.178   
0.141   0.521   0.168   
0.149   0.135   0.128   
0.125   0.125   0.150   
0.129   0.131   0.141   
0.127   0.138   0.137   
0.127   0.124   0.137   
0.127   0.129   0.126   
0.127   0.165   0.167   
0.132   0.177   1.210   
0.146   0.153   0.442   
0.134   0.129   0.155   
0.143   0.153   0.444   
0.158   0.168   0.202   
1.151   0.150   0.185   
0.155   0.157   0.178   
0.150   0.145   0.171   
0.152   0.155   0.591   
0.150   0.158   0.191   
0.159   0.171   0.182   
0.165   0.157   0.187   
0.156   0.156   0.173   
0.134   0.426   1.480   
0.149   1.152   0.145   
0.127   0.124   0.125   
0.126   0.134   0.145   
0.129   0.144   0.195   
0.156   1.138   0.138   
0.133   0.123   0.124   
0.128   1.522   0.205   
0.130   0.264   0.233   
0.127   0.224   0.178   
0.121   0.182   0.191   
0.127   0.204   0.230   
0.121   0.223   0.198   
0.131   0.209   0.228   
0.125   0.179   0.175   
0.132   0.182   0.207   
0.122   0.173   0.271   
0.160   0.441   0.186   
0.167   0.157   0.207   
0.151   0.156   0.438   
0.149   0.148   0.185   
0.149   0.173   1.329   
0.130   0.230   0.227   
0.133   0.306   0.199   
0.129   0.173   0.179   
0.132   0.234   0.226   
0.128   0.179   0.177   
0.128   0.185   0.245   
0.123   0.191   0.194   
0.133   0.175   0.170   
0.129   0.189   0.171   
0.130   0.211   0.185   
0.125   0.178   0.185   
0.131   0.198   0.171   
0.132   0.174   0.228   
0.121   0.220   0.183   
0.120   0.170   0.164   
0.129   0.174   0.179   
0.122   0.180   0.162   
0.118   0.234   0.229   
0.126   0.184   0.167   
0.129   0.158   0.187   
0.125   0.186   0.179   
0.128   0.208   0.192   
0.126   0.176   0.174   
0.127   0.180   0.165   
0.135   0.190   0.175   
0.132   0.207   0.164   
0.125   0.192   0.256   
0.173   0.166   0.211   
0.169   3.184   1.177   
0.146   0.175   0.178   
0.140   0.144   0.754   
0.153   0.139   0.171   
0.128   0.439   0.181   
0.148   0.145   0.180   
0.149   0.148   0.189   
0.148   1.151   1.178   
0.139   0.159   0.194   
0.136   0.146   0.427   
0.154   0.145   0.439   
0.141   0.147   0.167   
0.134   1.165   0.175   
0.135   0.144   0.187   
0.147   0.174   0.190   
0.162   1.159   1.229   
0.141   0.151   1.207   
0.123   0.245   0.212   
0.126   0.307   0.248   
0.129   0.197   0.183   
0.128   0.198   0.215   
0.119   0.251   0.252   
0.122   0.195   0.153   
0.128   0.164   0.213   
0.119   0.183   0.173   
0.406   0.153   0.159   
0.130   0.147   0.143   
0.129   0.128   0.149   
0.121   0.117   0.124   
0.124   0.123   0.128   
0.123   0.133   0.123   
0.126   0.130   0.194   
0.148   0.133   0.167   
0.133   0.146   0.148   
0.127   0.132   0.167   
0.150   0.142   0.184   
0.156   0.149   0.192   
0.142   0.151   0.197   
0.156   0.159   0.202   
0.143   0.146   1.219   
0.430   0.155   0.181   
0.142   0.143   0.174   
0.142   0.157   0.182   
0.144   0.150   0.176   
0.441   0.153   0.170   
0.149   0.148   0.204   
0.150   0.149   0.177   
0.435   0.158   0.171   
0.146   0.150   0.147   
0.131   0.145   1.164   
0.135   0.140   0.139   
0.292   0.237   0.317   
0.202   0.189   0.154   
0.155   0.141   0.196   
0.156   0.170   0.175   
0.155   0.144   1.189   
0.151   1.177   0.157   
0.139   0.144   0.152   
0.134   0.148   0.142   
1.175   0.134   0.173   
1.162   0.134   0.172   
0.143   0.132   0.161   
0.150   0.151   1.307   
0.143   0.130   0.172   
0.143   0.142   0.171   
0.138   0.154   1.390   
0.141   0.148   0.179   
0.137   0.141   0.197   
0.146   0.138   0.913   
0.149   3.363   0.263   
0.123   0.311   0.238   
0.125   0.239   0.189   
0.135   0.203   0.238   
1.130   0.322   0.578   
0.122   0.440   0.356   
0.123   0.301   0.252   
0.135   0.445   0.167   
0.136   0.292   0.212   
0.158   0.170   0.214   
0.158   0.147   0.193   
0.152   0.147   0.177   
0.429   0.137   0.182   
0.141   1.189   0.172   
0.158   0.146   0.201   
0.155   0.165   0.420   
0.142   0.151   0.193   
0.154   0.148   0.190   
0.143   0.160   0.206   
0.163   0.165   0.191   
0.152   0.158   0.181   
0.142   0.162   0.179   
0.164   0.155   0.445   
0.142   0.154   0.184   
0.144   0.153   0.192   
0.154   0.161   0.176   
0.139   0.153   0.288   
0.117   0.269   0.250   
0.124   0.226   0.223   
0.134   0.443   0.262   
0.130   0.282   0.175   
0.121   0.149   0.207   
0.134   0.178   0.198   
0.123   0.196   0.237   
0.168   0.187   1.222   
0.132   0.136   0.173   
0.138   0.143   0.160   
0.134   0.137   0.157   
0.129   0.148   0.206   
0.424   0.145   0.162   
0.141   0.155   0.156   
0.409   0.140   0.127   
0.128   0.125   0.120   
0.124   0.129   0.129   
0.118   0.128   0.128   
0.129   0.135   0.125   
0.117   0.120   0.121   
0.114   0.138   0.126   
0.128   0.121   0.126   
0.123   0.122   0.122   
0.130   0.129   0.121   
0.117   0.128   0.124   
0.123   0.121   0.127   
0.121   0.135   0.122   
0.130   0.124   0.150   
0.141   0.143   0.153   
0.409   0.157   0.163   
0.150   0.160   0.170   
0.154   0.153   0.180   
0.151   0.145   1.183   
0.151   0.151   0.196   
0.138   0.141   2.198   
0.147   0.411   0.187   
0.162   0.150   0.159   
0.168   0.191   0.260   
0.143   1.406   0.331   
0.122   0.221   0.192   
0.123   0.185   0.267   
0.127   0.167   0.169   
0.128   0.181   0.187   
0.125   0.218   0.219   
0.128   0.175   1.179   
0.125   0.185   0.172   
0.129   0.169   0.179   
0.129   0.180   0.187   
0.124   0.206   0.164   
0.125   0.173   0.170   
0.125   0.180   0.252   
0.117   0.201   0.183   
0.126   0.169   0.173   
0.127   0.193   0.216   
0.122   0.188   0.175   
0.125   0.179   0.205   
0.121   0.184   0.187   
0.123   0.193   0.198   
0.122   0.235   0.206   
0.123   0.219   0.176   
0.121   0.173   0.187   
0.120   0.199   0.205   
0.122   0.204   0.234   
0.147   0.180   0.477   
0.152   0.167   0.198   
0.163   0.168   0.190   
0.154   0.162   0.187   
0.164   0.161   0.202   
0.155   0.164   0.179   
